Date,spx_excess
2008-01-31,-0.06272176561507686
2008-02-29,-0.03624869270947267
2008-03-31,-0.0070221233779492005
2008-04-30,0.04643003094674693
2008-05-31,0.009132515017533649
2008-06-30,-0.08738321819541059
2008-07-31,-0.011221871177355493
2008-08-31,0.010782131288104499
2008-09-30,-0.09154143352392394
2008-10-31,-0.16978702401975757
2008-11-30,-0.07486570900500385
2008-12-31,0.00772574329842767
2009-01-31,-0.08584067639039421
2009-02-28,-0.11013953095353277
2009-03-31,0.08523779532617273
2009-04-30,0.09382091248159664
2009-05-31,0.052973113055806854
2009-06-30,4.5827259649495745e-05
2009-07-31,0.07399589381693442
2009-08-31,0.033451855539184484
2009-09-30,0.03562751238804784
2009-10-31,-0.01979950052830432
2009-11-30,0.057322394786440085
2009-12-31,0.017728904252050766
2010-01-31,-0.03703257902584384
2010-02-28,0.02841785571147425
2010-03-31,0.0586714255405303
2010-04-30,0.014630063814352919
2010-05-31,-0.08210084207815758
2010-06-30,-0.0540241089079953
2010-07-31,0.06866118290747181
2010-08-31,-0.0475616836370751
2010-09-30,0.08742193638347548
2010-10-31,0.036764327369370665
2010-11-30,-0.002423583076929757
2010-12-31,0.06520420701208328
2011-01-31,0.022524741029282768
2011-02-28,0.03184406372362306
2011-03-31,-0.0011223129421467214
2011-04-30,0.02846204733394773
2011-05-31,-0.013534286227811514
2011-06-30,-0.018269961652199927
2011-07-31,-0.021549425309646444
2011-08-31,-0.056803607952049494
2011-09-30,-0.07177032141404358
2011-10-31,0.10771887177086793
2011-11-30,-0.005071215106731994
2011-12-31,0.0085285970000626
2012-01-31,0.043537229371900375
2012-02-29,0.0405269637656337
2012-03-31,0.03127814786676207
2012-04-30,-0.007572452375476226
2012-05-31,-0.06270072571342608
2012-06-30,0.03948831556315976
2012-07-31,0.012514240870212813
2012-08-31,0.01969253617200731
2012-09-30,0.02416115361479508
2012-10-31,-0.01987690971356207
2012-11-30,0.0027842166825592447
2012-12-31,0.007039064289493773
2013-01-31,0.05037392980218901
2013-02-28,0.01097731543046644
2013-03-31,0.03593355731819313
2013-04-30,0.0180482677783999
2013-05-31,0.020737811683616617
2013-06-30,-0.015024301595022034
2013-07-31,0.04943707991364417
2013-08-31,-0.0313146861456381
2013-09-30,0.029745356592621796
2013-10-31,0.04456825276209373
2013-11-30,0.028003638034243734
2013-12-31,0.023510291974601576
2014-01-31,-0.035591239288958666
2014-02-28,0.043081196843611336
2014-03-31,0.006908832084173498
2014-04-30,0.006184122487120017
2014-05-31,0.02100528007383924
2014-06-30,0.019041665083176
2014-07-31,-0.015094830844696651
2014-08-31,0.037640295580470995
2014-09-30,-0.015524670583010838
2014-10-31,0.023198960667181346
2014-11-30,0.024529421979741405
2014-12-31,-0.004219420849727742
2015-01-31,-0.03104497250498416
2015-02-28,0.054885844223639985
2015-03-31,-0.017416940447863346
2015-04-30,0.00851665315596174
2015-05-31,0.01048888230456806
2015-06-30,-0.02102000531287704
2015-07-31,0.019693696103242325
2015-08-31,-0.06258331825588732
2015-09-30,-0.026446997946575002
2015-10-31,0.0829264511429203
2015-11-30,0.0003632024421780885
2015-12-31,-0.017653518367615337
2016-01-31,-0.05098532205688641
2016-02-29,-0.004385026974279434
2016-03-31,0.06583028110364554
2016-04-30,0.002538564946919637
2016-05-31,0.015088769198312939
2016-06-30,0.0007042545768353037
2016-07-31,0.035409800757785784
2016-08-31,-0.001485909559725515
2016-09-30,-0.0014511177980366858
2016-10-31,-0.019671512231440275
2016-11-30,0.033784521833666044
2016-12-31,0.017800762450806557
2017-01-31,0.017467691531715856
2017-02-28,0.03676232673189352
2017-03-31,-0.0010041971150038355
2017-04-30,0.008441208772696464
2017-05-31,0.010784584589596103
2017-06-30,0.003986275232051788
2017-07-31,0.018471326023354284
2017-08-31,-0.0002685669678284638
2017-09-30,0.01844631189788519
2017-10-31,0.021252301711360243
2017-11-30,0.02705096111049172
2017-12-31,0.008702463911709262
2018-01-31,0.05498703750257157
2018-02-28,-0.04029570523813235
2018-03-31,-0.02827616523146052
2018-04-30,0.0012496083191649127
2018-05-31,0.020050008517276625
2018-06-30,0.003275769604914807
2018-07-31,0.034367389494311555
2018-08-31,0.028550711221117245
2018-09-30,0.0025026206803222366
2018-10-31,-0.07130168952398652
2018-11-30,0.015936023248331415
2018-12-31,-0.09369356130690276
2019-01-31,0.0767344017373517
2019-02-28,0.0277430560964245
2019-03-31,0.01598425619236803
2019-04-30,0.03734016495497333
2019-05-31,-0.06768856468586362
2019-06-30,0.0672343305933818
2019-07-31,0.011436485524133143
2019-08-31,-0.019702460547631223
2019-09-30,0.01570617794691527
2019-10-31,0.01918343715889305
2019-11-30,0.032763704412955716
2019-12-31,0.027335652243037068
2020-01-31,-0.0028864261444350127
2020-02-29,-0.0851354836542977
2020-03-31,-0.12514428240836942
2020-04-30,0.12676903816229868
2020-05-31,0.04517515299382516
2020-06-30,0.01827589650945386
2020-07-31,0.05503215481640954
2020-08-31,0.0699855002360445
2020-09-30,-0.039298803512501444
2020-10-31,-0.027734952885413847
2020-11-30,0.10748313544137557
2020-12-31,0.03706729242889016
2021-01-31,-0.011176660755792866
2021-02-28,0.02606228471065755
2021-03-31,0.042427799199608304
2021-04-30,0.05242282134753678
2021-05-31,0.005479822003623654
2021-06-30,0.02218067623324647
2021-07-31,0.022714721495800432
2021-08-31,0.028957082922850357
2021-09-30,-0.04759250213595465
2021-10-31,0.06910383640025881
2021-11-30,-0.008373706185093853
2021-12-31,0.043585413462213875
2022-01-31,-0.0527293316881994
2022-02-28,-0.03160049193557681
2022-03-31,0.035362455037616876
2022-04-30,-0.08863004516112089
2022-05-31,-0.0008051556048468397
2022-06-30,-0.08525333328702836
2022-07-31,0.0892013916491477
2022-08-31,-0.044823461518911555
2022-09-30,-0.09604567206890537
2022-10-31,0.07655091391648176
2022-11-30,0.050208726867024565
2022-12-31,-0.06252147426546534
2023-01-31,0.05794452435829461
2023-02-28,-0.030037493963607727
2023-03-31,0.031230779211986505
2023-04-30,0.01053984178010085
2023-05-31,-0.0018909860859391081
2023-06-30,0.060433298339293236
2023-07-31,0.026765598900878783
2023-08-31,-0.022131389953234184
2023-09-30,-0.05313603429123727
2023-10-31,-0.02641302221436743
2023-11-30,0.08481426885190625
2023-12-31,0.039912564632744604
2024-01-31,0.01157237409717582
2024-02-29,0.04736814058239728
2024-03-31,0.026682946524789173
2024-04-30,-0.04598590497586459
2024-05-31,0.04365619022113522
2024-06-30,0.030304801353019394
2024-07-31,0.006956316957804865
2024-08-31,0.018469707006566482
2024-09-30,0.01583188416053739
